transaction_id,amount,timestamp,location,device_type,merchant_category,transaction_type,previous_transaction_gap,is_new_device,hour,is_night,fraud_label
TXN100000,2346.34,2026-03-30 06:26:30,Mumbai,Android,Jewelry,Peer-to-Peer,258,0,6,0,0
TXN100001,15050.61,2026-03-31 06:01:30,Delhi,iOS,Groceries,QR-Scan,45,0,6,0,0
TXN100002,6583.73,2026-03-28 09:44:30,International,Android,Transfer,Merchant-Payment,8461,0,9,0,0
TXN100003,4564.71,2026-03-28 17:58:30,Mumbai,Old Android,Jewelry,QR-Scan,1335,0,17,0,0
TXN100004,848.12,2026-03-28 23:53:30,International,Android,Jewelry,QR-Scan,672,0,23,1,1
TXN100005,847.98,2026-03-29 22:44:30,International,iOS,Gambling,QR-Scan,7001,0,22,0,0
TXN100006,299.19,2026-03-30 08:51:30,Unknown,Android,Jewelry,Peer-to-Peer,3639,0,8,0,0
TXN100007,10056.15,2026-03-25 07:55:30,Delhi,Android,Electronics,Merchant-Payment,6086,0,7,0,0
TXN100008,4595.41,2026-03-30 13:06:30,Unknown,Android,Electronics,Merchant-Payment,235,0,13,0,0
TXN100009,6156.25,2026-03-24 19:36:30,Hyderabad,Android,Groceries,Peer-to-Peer,6835,0,19,0,0
TXN100010,104.0,2026-03-26 17:38:30,International,Android,Jewelry,Peer-to-Peer,3208,0,17,0,0
TXN100011,17517.79,2026-03-31 04:10:30,Mumbai,Android,Jewelry,Peer-to-Peer,5565,1,4,1,1
TXN100012,8932.15,2026-03-31 04:42:30,International,Android,Groceries,Peer-to-Peer,2401,0,4,1,0
TXN100013,1193.44,2026-03-30 11:15:30,Hyderabad,Web,Electronics,QR-Scan,9610,1,11,0,0
TXN100014,1003.39,2026-03-29 01:08:30,Mumbai,Android,Gambling,QR-Scan,5090,0,1,1,1
TXN100015,1013.06,2026-03-28 21:19:30,Hyderabad,iOS,Electronics,Merchant-Payment,7552,0,21,0,0
TXN100016,1813.77,2026-03-25 18:51:30,International,Android,Groceries,QR-Scan,5006,0,18,0,0
TXN100017,3719.64,2026-03-24 16:27:30,Bangalore,iOS,Gambling,QR-Scan,7491,0,16,0,0
TXN100018,2827.69,2026-03-31 05:36:30,Bangalore,Android,Entertainment,Merchant-Payment,7741,0,5,1,0
TXN100019,1721.11,2026-03-25 03:35:30,Hyderabad,iOS,Transfer,Peer-to-Peer,8632,0,3,1,0
TXN100020,4731.85,2026-03-29 06:33:30,Delhi,Android,Entertainment,Merchant-Payment,5183,0,6,0,0
TXN100021,751.17,2026-03-25 08:02:30,Mumbai,Android,Entertainment,QR-Scan,651,0,8,0,0
TXN100022,1727.58,2026-03-26 18:17:30,Hyderabad,Android,Transfer,Merchant-Payment,34,0,18,0,0
TXN100023,2281.39,2026-03-29 00:39:30,International,Android,Groceries,Peer-to-Peer,3033,0,0,1,0
